preco,quilometragem,ano,marca,modelo,informacoes
24999,90900,2005,honda,Fit,1.4 Lx 5p
21900,45320,2017,peugeot,2008,1.6 16v Allure Business Flex Aut. 5p
53890,109000,2013,chevrolet,Spin,1.8 Ltz 7l Aut. 5p
41900,48000,2018,chevrolet,Spin,1.8 Advantage 5l Aut. 5p
58900,104000,2012,fiat,Idea,1.4 Attractive Flex 5p
27500,86000,2011,citroen,Aircross,1.6 16v Exclusive Flex 5p
30990,88200,2011,fiat,Idea,1.8 16v Sporting Flex 5p
29000,98000,2015,honda,Fit,1.5 Lx Flex Aut. 5p
50500,118000,2013,honda,Fit,1.4 Lx Flex 5p
36900,1,2011,fiat,Idea,1.6 16v Essence Flex Dualogic 5p
24900,1,2012,chevrolet,Meriva,1.4 Joy Econoflex 5p
22500,135000,2014,chevrolet,Spin,1.8 Lt 5l 5p
33990,110000,2009,honda,Fit,1.4 Lxl Flex 5p
30800,79000,2015,mercedes,Classe,A 2.0 Sport Turbo 5p
120000,45000,2018,chevrolet,Spin,1.8 Activ 5l Aut. 5p
59900,36000,2017,honda,Fit,1.5 Lx Flex Aut. 5p
62800,152000,2009,honda,Fit,1.4 Lxl Flex 5p
115490,0,2020,peugeot,Expert,Minibus 1.6 (11l) Td Blue Hdi 5p
159900,0,2021,citroen,Jumpy,Passageiro
163900,1,2015,jinbei,Topic,Van 2.0 16v Sl 4p
49900,116271,2012,jinbei,Topic,Escolar 2.0 16v L 4p
27900,104000,2008,citroen,Xsara,Picasso 1.6 Glx Flex 5p
16990,0,2021,citroen,Jumpy,Minibus
163900,144000,2009,chevrolet,Zafira,2.0 Expression Flex Power Aut. 5p
29990,100,2015,fiat,Freemont,2.4 Precision 5p Automática
74900,90000,2011,nissan,Livina,1.6 S Flex 5p
26990,0,2020,peugeot,Expert,Minibus
159900,1,2007,citroen,Jumper,Escolar
53900,98884,2012,volkswagem,Kombi,Food Truck
55000,47600,2020,fiat,Doblo,1.8 16v Essence 7l Flex 5p
81879,69000,2012,jac,J6,2.0 16v Diamond 7l 5p
26490,112521,2015,jac,J6,2.0 16v Diamond 7l Jetflex 5p
37900,1,2012,chevrolet,Zafira,2.0 Comfort Flex Power 5p
25991,0,2020,honda,Fit,1.5 Ex 16v
70000,35000,2018,fiat,Doblo,1.8 16v Essence 7l Flex 5p
63990,133000,2012,nissan,Livina,1.8 Sl Flex Aut. 5p
26890,109000,2012,dodge,Journey,3.6 Sxt 5p
45990,110000,2014,nissan,Livina,1.6 S Flex 5p
28890,77000,2014,mercedes,B200,Sport 1.6 Aut
62990,145000,2008,fiat,Doblo,Doblò Elx 1.8 8v (flex)
26900,105000,2013,honda,Fit,1.4 Lx 16v
34990,90000,2010,citroen,Xsara,Picasso 1.6 Glx Flex 5p
21400,140000,2009,citroen,C4,Picasso 2.0 5p
26890,134000,2012,dodge,Journey,3.6 R/t 5p
45990,121500,2008,chrysler,Town,& Country 3.8 Limited 5p
49900,100000,2012,fiat,Freemont,2.4 Emotion 5p
41890,63000,2018,chevrolet,Spin,1.8 Ls 8v
48899,111000,2006,renault,Scenic,2.0 16v Expression Aut. 5p
13900,71000,2015,dodge,Journey,3.6 R/t 5p
70000,73000,2014,dodge,Journey,3.6 R/t 5p
74900,45000,2011,chevrolet,Zafira,2.0 Elite Flex Power Aut. 5p
37999,87000,2011,kia,Soul,1.6 Ex Aut. 5p
33900,75000,2013,nissan,Livina,1.8 Sl Flex Aut. 5p
32900,113000,2005,chevrolet,Zafira,2.0 Elite Flex Power Aut. 5p
23950,25038,2018,citroen,Aircross,1.6 Vti 120 Shine Eat6
59900,150,2012,fiat,Freemont,2.4 Precision 5p
49900,85370,2000,hyundai,Atos,1.0 Prime Gls 5p
13800,132123,2003,chevrolet,Zafira,2.0 8v 5p
19999,91000,2011,kia,Soul,1.6 Ex Flex 5p
32900,59000,2014,jac,J6,2.0 16v 5l 5p
30890,163600,2008,honda,Fit,1.5 Ex 16v
25900,85000,2011,citroen,Xsara,Picasso 1.6 Glx Flex 5p
21900,100000,2010,nissan,Livina,1.8 Sl Flex Aut. 5p
26990,80000,2016,fiat,Doblo,1.8 16v Adventure Flex 5p
70000,111111,2010,chevrolet,Zafira,2.0 Elegance Flex Power Aut. 5p
38320,70500,2017,chevrolet,Onix,1.0 Joy 5p
35699,14272,2018,fiat,Argo,1.3 Drive Flex 5p
49990,32800,2017,toyota,Etios,1.5 16v Platinum Aut. 5p
53900,47200,2019,hyundai,Hb20,1.6 Comfort Plus Flex 5p
44900,80000,2016,renault,Sandero,1.0 16v Expression Hi-flex 5p
30900,168110,2009,volkswagem,Crossfox,1.6 Vht Total Flex 5p
23909,121000,2013,peugeot,308,1.6 Thp Feline Aut. 5p
35700,146000,2012,renault,Clio,1.0 16v Campus Hi-flex 3p
11900,44500,2020,fiat,Uno,1.0 Fire Attractive
43900,63000,2014,chevrolet,Sonic,1.6 16v Ltz Aut. 5p
35900,69322,2015,toyota,Etios,1.3 16v X 5p
32900,73000,2016,nissan,March,1.0 12v S 5p
31990,137900,2012,fiat,Punto,1.4 Attractive Flex 5p
